S003,COUNTRY_ALPHA,COW_NUM,COW_ALPHA,S012,S001,S022,S023,X003,X001,X002,S020,A009,A008,year,year2,country_code,age,sex,cohort,health,happy
840,USA,2,USA,-4,2,199509,199512,61,1,1934,1995,2,1,1995,1995,840,61,1,1934,4,4
840,USA,2,USA,-4,2,199509,199512,68,2,1926,1995,1,2,1995,1995,840,68,2,1926,5,3
840,USA,2,USA,-4,2,199509,199512,69,2,1926,1995,3,1,1995,1995,840,69,2,1926,3,4
840,USA,2,USA,-4,2,199509,199512,79,1,1915,1995,3,3,1995,1995,840,79,1,1915,3,2
840,USA,2,USA,-4,2,199509,199512,46,1,1949,1995,1,1,1995,1995,840,46,1,1949,5,4
840,USA,2,USA,-4,2,199509,199512,73,2,1922,1995,3,1,1995,1995,840,73,2,1922,3,4
840,USA,2,USA,-4,2,199509,199512,40,2,1955,1995,3,3,1995,1995,840,40,2,1955,3,2
840,USA,2,USA,-4,2,199509,199512,76,1,1919,1995,2,1,1995,1995,840,76,1,1919,4,4
840,USA,2,USA,-4,2,199509,199512,18,2,1976,1995,1,2,1995,1995,840,18,2,1976,5,3
840,USA,2,USA,-4,2,199509,199512,47,2,1948,1995,2,3,1995,1995,840,47,2,1948,4,2
840,USA,2,USA,-4,2,199509,199512,46,1,1949,1995,1,1,1995,1995,840,46,1,1949,5,4
840,USA,2,USA,-4,2,199509,199512,73,1,1922,1995,3,1,1995,1995,840,73,1,1922,3,4
840,USA,2,USA,-4,2,199509,199512,39,1,1956,1995,2,3,1995,1995,840,39,1,1956,4,2
840,USA,2,USA,-4,2,199509,199512,51,2,1944,1995,4,3,1995,1995,840,51,2,1944,2,2
840,USA,2,USA,-4,2,199509,199512,66,2,1928,1995,3,2,1995,1995,840,66,2,1928,3,3
840,USA,2,USA,-4,2,199509,199512,36,2,1958,1995,2,2,1995,1995,840,36,2,1958,4,3
840,USA,2,USA,-4,2,199509,199512,62,1,1933,1995,2,1,1995,1995,840,62,1,1933,4,4
840,USA,2,USA,-4,2,199509,199512,57,2,1938,1995,1,1,1995,1995,840,57,2,1938,5,4
